name,address,email,image,description,amenities,star,types,phone,price,rating,review_Count,url,timestamp
Hotel Malte - Astotel,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/6d/cb/6e/stairs.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/6d/c9/1a/superior-twin-room.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/6d/cc/11/breakfast-room.jpg?w=700&h=-1&s=1","Located in the 2nd district next to the Stock Exchange, the Louvre and Place des Victoires, Hotel Malta provides a superb location for a memorable stay. Whether you want to shop in the heart of the department store neighbourhood or visit one of the main business centres of Paris, Malta Hotel is the place to be. Elegantly concealed behind a facade dating from the seventeenth century, let yourself be seduced by our garden patio, a pleasurable experience on sunny days, our cozy breakfast room, and the relaxing atmosphere of our lobby. After the warm welcome by our professional team, always at your disposal, you will appreciate the comfort of our rooms decorated in an elegant and timeless design. A convenient location , caring personnel and warm atmosphere make Malta Hotel the perfect place for your stay in the capital, whether traveling with family or on your own.",[],,,,[],5.0,,https://www.tripadvisor.com/Hotel_Review-g187147-d228694-Reviews-Hotel_Malte_Astotel-Paris_Ile_de_France.html,2024-04-30T06:39:43Z
Hôtel Regina Louvre,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/89/d7/7b/exterior-view.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/be/ff/09/eiffel-tower-junior-suite.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/74/dc/eb/eiffel-tower-view-from.jpg?w=700&h=-1&s=1","The prestigious Regina Hotel, fully renovated, belongs to a long French tradition of luxury hotels. In the heart of the trendy district which is home to fashion design, shopping and museum, Paris aficionados will find the ideal place to stay, across the Louvre museum and the Tuileries Garden. Thanks to its wonderful situation, the capital's major attractions are just a stone's throw away including the Palais Royal and the Champs Elysees. From here, the luxurious Place Vendome, Orsay museum and the shopping centre Les Halles can be reached within 15 minutes on foot. Furthermore, the 'Tuileries' and 'Pyramides' metro stop at 150 meters provide quick and easy access throughout the city. First opened in 1900 for the World's Fair, Hotel Regina welcomes you in an intimate, spacious, sophisticated haven, where fine woodwork and designer lighting reinforce its anchor in Paris' history. This fully air conditioned property offers an array of services including a 24h reception, concierge, room service, laundry and limousine service amongst other. Furthermore, complimentary wireless Internet is accessible throughout the property. Each of the 99 rooms at the Regina Hotel in Paris has been elegantly furnished with antiques and period furniture, creating a traditional and luminous decor. Modern in-room amenities include a safe, direct dial telephone and flat screen television with satellite channels. Some of the bedrooms offer breath-taking views of the Louvre museum, the Tuileries Garden and the Eiffel Tower. Let yourself be charmed by its pretty Patio (opened on sunny days) and its staff dedicated to your personal needs. In its British atmosphere of the hotel bar, you will enjoy a drink or a cocktail from our Chef Barman. You will have also the opportunity to relish pastries from our pastry chef and our selection of teas. For lunch and dinner the Hotel Regina Restaurant will propose you a French and seasonal cuisine.",[],,,,[],4.5,,https://www.tripadvisor.com/Hotel_Review-g187147-d207792-Reviews-Hotel_Regina_Louvre-Paris_Ile_de_France.html,2024-04-30T06:40:44Z
"Hotel L'Arbre Voyageur, BW Premier Collection",,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/f7/ca/00/l-arbre-voyageur-bw-premier.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/08/09/52/guest-room-accessible.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/f7/ca/7a/guest-room-accessible.jpg?w=700&h=-1&s=1","The 4 Star luxury Hotel l'Arbre Voyageur, BW Premier Collection® is the new address downtown. Ideally located in the heart of Lille, it is less than 300 meters from the Grand Place and 500 meters from Lille Flandres and Lille Europe stations or the metro. In this new jewel of 48 rooms including 3 Suites, this former Consulate Lille is an invitation to travel, with its luxurious rooms and its unique decoration. We cultivate the difference, and every room is unique. With two restaurants and a bakery with a gift shop, we will welcome you around our patio with a florist and a wine cellar too. Aware of the many environmental issues, everything has been created here for comfort and sustainable development. Fully air-conditioned and equipped with high speed Wi-Fi, and through our solar panels, we minimize our carbon footprint. We have the desire to create a place of encounter and exchange, where responsible enjoy every day experiences is a currency. Cultivate the difference, for unforgettable moments of life. We rely on the talent of our teams to rhyme enthusiasm with professionalism and care with generosity; share the best addresses, it is our job and we do it with passion for your pleasure.",[],,,,[],5.0,,https://www.tripadvisor.com/Hotel_Review-g187178-d11670679-Reviews-Hotel_L_Arbre_Voyageur_BW_Premier_Collection-Lille_Nord_Hauts_de_France.html,2024-04-30T06:40:51Z
Hotel 96,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/50/cb/f6/hotel-96.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/4e/eb/98/hotel-96.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b3/db/82/hotel-96.jpg?w=700&h=-1&s=1","Excellent choix pour les voyageurs visitant Marseille, l'Hotel 96 offre un cadre romantique et de nombreux services conçus pour sublimer votre séjour. Le wi-fi gratuit est offert aux clients et les chambres de l'Hotel 96 sont dotées d'une télévision à écran plat et d'une climatisation. Pendant votre séjour, vous pourrez profiter des services de l'hôtel, dont la conciergerie, le mobilier d'extérieur et la boutique de souvenirs. Les clients de l'Hotel 96 sont également invités à utiliser une piscine et un salon de l'hôtel. Un parking gratuit est à la disposition des voyageurs véhiculés. Situé non loin de monuments tels que Cité Radieuse Le Corbusier (2,5 km) et MArseille MOdulor (2,5 km), l'Hotel 96 jouit d'une localisation parfaite pour découvrir les différentes attractions de Marseille. Envie de déguster des restaurants de poissons et fruits de mer? Allez dans un des restaurants alentours tels que Chez Aldo, Au Bord De L'Eau ou Pierrot Coquillages. Marseille est également connu pour ses célèbres sites historiques, dont Château d'If, Palais Longchamp et Palais du Pharo, qui sont tout près de l'Hotel 96. Profitez bien de votre séjour à Marseille!",[],,,,[],5.0,,https://www.tripadvisor.com/Hotel_Review-g187253-d3802131-Reviews-Hotel_96-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html,2024-04-30T06:40:58Z
Hôtel La Bourdonnais by Inwood Hotels,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/49/55/9f/hotel-la-bourdonnais.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/9e/bf/aa/hotel-la-bourdonnais.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/9e/bf/a9/hotel-la-bourdonnais.jpg?w=700&h=-1&s=1","See why so many travelers make Hotel La Bourdonnais their hotel of choice when visiting Paris. Providing an ideal mix of value, comfort and convenience, it offers a romantic setting with an array of amenities designed for travelers like you.",[],,,,[],4.5,,https://www.tripadvisor.com/Hotel_Review-g187147-d233462-Reviews-Hotel_La_Bourdonnais_by_Inwood_Hotels-Paris_Ile_de_France.html,2024-04-30T06:41:05Z
Hotel Le Nouveau Monde,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/65/4e/6c/hotel-le-nouveau-monde.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/7b/94/6a/chambre-vue-mer.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/be/f2/4c/bar.jpg?w=700&h=-1&s=1","It is located close to beaches and shops and offers 83 rooms, from the classic room to the Deluxe Suite. The rooms have a trendy decoration with noble materials, a contemporary design and a soft and warm atmosphere. The hotel also has a restaurant with an exceptional panorama of the bay. The hotel's spa offers a range of treatments, an underwater pool and a swim lane. Finally, the hotel offers several meeting rooms for seminars and conferences.",[],,,,[],4.5,,https://www.tripadvisor.com/Hotel_Review-g187104-d2418155-Reviews-Hotel_Le_Nouveau_Monde-Saint_Malo_Ille_et_Vilaine_Brittany.html,2024-04-30T06:41:12Z
Hôtel Adèle & Jules,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/3e/b2/9f/hotel-adele-jules.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/53/cb/f3/hotel-adele-jules.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/cf/93/84/salon-rougemont.jpg?w=700&h=-1&s=1","Located in a quiet alley of the trendy 9th arrondissement of Paris, hotel Adèle & Jules is a newly opened hotel, with a very chic Parisian style. It offers all services you would expect such as free high speed wi-fi, 24 hr reception with full concierge service, as well as an Honesty Bar, room service, a business corner, a fitness and a meeting room for up to 18 guests. Hotel Adèle & Jules offers 4 categories of rooms: The Superior Parisienne, the Deluxe Faubourg, the Club Boulevard, as well as 2 Suites Capitale. All rooms come with 1 double bed (Queen size 160 or King size 180) or twin beds (2x80 or 2x90). They are all equipped with 40' flat screen TV with satellite channels, Air conditioning, individual safe which can accommodate a laptop, bathrooms with Shower or Bath, Fragonnard amenities, bathrobes, hair-dryer. In our Deluxe, Club and Suite categories, guest can enjoy a Nespresso machine as well as tea facilities. Upon arrival guests can relax and refresh with complimentary mineral water. The hotel offers a complimentary High tea every day from 4 to 6 PM in the lounge area. Continental buffet Breakfast is served from 7h to 11h, or it can also be ordered in room. Thanks to its exclusive location in a private alley and with the addition of sound proof walls, guests can enjoy total silence in all rooms categories, although the neighbourhood raves with restaurant, cafés and bars as well as theatres. The hotel front desk team will be happy to take care of all your needs: restaurant bookings, cultural activities, shopping tips, bicycle rental, transportation including transfer to and from the main airports. Luggage service is free and available at all times.",[],,,,[],5.0,,https://www.tripadvisor.com/Hotel_Review-g187147-d280085-Reviews-Hotel_Adele_Jules-Paris_Ile_de_France.html,2024-04-30T06:41:34Z
La Chambre du Marais,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/5a/39/60/la-chambre-du-marais.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/c6/0b/98/junior-suite-alexandre.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/c6/0a/d5/classique-double-room.jpg?w=700&h=-1&s=1","A short walk from the rue des Francs-Bourgeois and the best addresses of the fashionable Marais district, discover a town house combining timeless elegance and luxurious facilities. Located in the 3rd arrondissement of Paris, La Chambre du Marais, with its stylish and comfortable design by Philippe Jégou, is an exceptional Parisian hotel.",[],,,,[],5.0,,https://www.tripadvisor.com/Hotel_Review-g187147-d10319445-Reviews-La_Chambre_du_Marais-Paris_Ile_de_France.html,2024-04-30T06:41:44Z
Aparthotel AMMI Nice Massena,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/25/2a/d1/double-standard-studio.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/db/44/bd/ajoupa-apart-hotel-nice.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/db/44/a1/ajoupa-apart-hotel-nice.jpg?w=700&h=-1&s=1","The Aparthotel AMMI Nice Massena (ex Ajoupa) is located right by the Place Massena, the Albert 1st Gardens and only a 3 minutes walk from the sea and the famous Promenade des Anglais. In the heart of the city you will find all means of transport (tram, bus, train) as well as many restaurants and shops nearby. All studios and apartments are equipped with kitchenette (fully equipped), private bathroom, individual air conditioning and double glazing.",[],,,,[],4.5,,https://www.tripadvisor.com/Hotel_Review-g187234-d265986-Reviews-Aparthotel_AMMI_Nice_Massena-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,2024-04-30T06:41:51Z
Hotel de Provence,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/31/e8/01/l-entree.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/fc/e7/fc/hotel-de-provence.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/fc/f3/04/suite-au-dernier-etage.jpg?w=700&h=-1&s=1","The Hotel de Provence is a small charming family hotel with 30 rooms, located in the city center of Cannes, close to the beaches and the shopping streets, we strongly advise you to choose our rooms with a view of the garden, We are located 7 minutes walk from the train station or the Palais des Festivals we also offer studios and a beautiful apartment 100 m from the hotel, cleaning is done there every day, We are already looking forward to welcoming you soon to help you discover the charm of Provence.",[],,,,[],5.0,,https://www.tripadvisor.com/Hotel_Review-g187221-d197838-Reviews-Hotel_de_Provence-Cannes_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,2024-04-30T06:42:15Z
