Ülke,Þehir,Konum,Enlem,Boylam
Fransa,Paris,Eyfel Kulesi,48.8582599,2.2945006358633115
Fransa,Paris,Louvre Müzesi,48.8611473,2.33802768704666
Fransa,Paris,Notre Dame Katedrali,48.85293705,2.3500501225000026
Fransa,Paris,Montmartre,48.88546185,2.3391535013803098
Fransa,Paris,Sacré-cœur Bazilikasý,48.88680575,2.3430153448835087
Fransa,Paris,Champs Élysées,48.8707573,2.3053312
Fransa,Paris,Moulin Rouge,48.8841094,2.3323564
Fransa,Paris,Pantheon,48.84619085,2.346078521905153
Fransa,Paris,Sainte-Chapelle,48.8553933,2.34499406295433
Fransa,Paris,Centre Pompidou,48.860591799999995,2.3524736024856843
Fransa,Paris,Saint Louis of Les Invalids Cathedral,48.85553555,2.3125959935907305
Birleþik Krallýk,Londra,Buckingham Sarayý,51.5008349,-0.1430045264505431
Birleþik Krallýk,Londra,British Museum,51.51929365,-0.12801772178494725
Birleþik Krallýk,Londra,Tower of London,51.5077017,-0.0760742
Birleþik Krallýk,Londra,Tate Modern,51.5074293,-0.09934164882888792
Birleþik Krallýk,Londra,London Eye,51.5033416,-0.11967649999999999
Birleþik Krallýk,Londra,Hyde Park,51.5074889,-0.1622074056037135
Birleþik Krallýk,Londra,National Gallery,51.508881,-0.12838264338231645
Birleþik Krallýk,Londra,Covent Garden,51.5117363,-0.1226769
Birleþik Krallýk,Londra,Camden Market,51.5423781,-0.1471949
Birleþik Krallýk,Londra,Royal Borough of Greenwich,51.46862565,0.04883057313755089
Birleþik Krallýk,Londra,The Shard,51.5043421,-0.0864458928542395
Ýtalya,Roma,Kolezyum,41.8902614,12.493087103595503
Ýtalya,Roma,Pantheon,41.89861595,12.476833414483862
Ýtalya,Roma,Piazza Navona,41.900009,12.4731187
Ýtalya,Roma,Sant'Angelo Kalesi,41.903117800000004,12.466342676345292
Ýtalya,Roma,Trastevere,41.8911586,12.466845904466918
Ýtalya,Roma,Piazza Venezia,41.8961514,12.482407389638281
Ýspanya,Barselona,Sagrada Família,41.4035046,2.174428284189003
Ýspanya,Barselona,Park Guell,41.41423475,2.1524575933189065
Ýspanya,Barselona,La Rambla,41.3773548,2.1763456
Ýspanya,Barselona,Gothic Quarter,41.3833947,2.1769119
Ýspanya,Barselona,Camp Nou,41.3808046,2.1158872
Ýspanya,Barselona,Port Vell,41.37009315,2.185468125229046
Ýspanya,Barselona,la Ribera,41.3848426,2.1828745
Hollanda,Amsterdam,Rijksmuseum,52.35984855,4.8850393523181435
Hollanda,Amsterdam,Vondelpark,52.35719735,4.864119037446743
Hollanda,Amsterdam,Dam Meydaný,52.37311615,4.892351098497149
Hollanda,Amsterdam,Rembrandtplein,52.3663477,4.8966980511789195
Hollanda,Amsterdam,Beurs van Berlage,52.3750218,4.89626468097017
Hollanda,Amsterdam,Hortus Botanicus,52.366806,4.907780471794045
Amerika Birleþik Devletleri,New York,Times Square,40.75701215,-73.98597092538824
Amerika Birleþik Devletleri,New York,Central Park,40.7827725,-73.9653627406542
Amerika Birleþik Devletleri,New York,Empire State Building,40.74844205,-73.98565890160751
Amerika Birleþik Devletleri,New York,Statue of Liberty,40.689253199999996,-74.04454817144321
Amerika Birleþik Devletleri,New York,Rockefeller Center,40.75925755,-73.97995686116377
Amerika Birleþik Devletleri,New York,One World Trade Center,40.71299915,-74.01318943816048
Japonya,Tokyo,Tokyo Disneyland Hotel,35.6372098,139.8780543
Japonya,Tokyo,Ueno Park,35.7097196,139.7716388
Japonya,Tokyo,Tokyo Skytree,35.71005425,139.81071409992649
Japonya,Tokyo,Odaiba,35.6275347,139.7714719
Japonya,Tokyo,Tokyo Metropolitan Government Main Building 1,35.68949565,139.69170936268827
Japonya,Tokyo,Akihabara,35.7018928,139.7743684
